SampleIndex,Voltage
0,0.033623
1,0.133232
2,0.23151
3,0.327474
4,0.420167
5,0.508661
6,0.592074
7,0.66957
8,0.740376
9,0.803784
10,0.859162
11,0.905955
12,0.943696
13,0.972008
14,0.990607
15,0.999309
16,0.998027
17,0.986772
18,0.965658
19,0.934895
20,0.894791
21,0.845747
22,0.788252
23,0.722881
24,0.650288
25,0.571197
26,0.486399
27,0.396741
28,0.303118
29,0.206467
30,0.107754
31,0.00796318
32,-0.0919069
33,-0.190859
34,-0.287903
35,-0.382071
36,-0.472422
37,-0.558052
38,-0.638107
39,-0.711785
