SampleIndex,Voltage
0,0.0998334
1,0.198669
2,0.29552
3,0.389418
4,0.479426
5,0.564642
6,0.644218
7,0.717356
8,0.783327
9,0.841471
10,0.891207
11,0.932039
12,0.963558
13,0.98545
14,0.997495
15,0.999574
16,0.991665
17,0.973848
18,0.9463
19,0.909297
20,0.863209
21,0.808496
22,0.745705
23,0.675463
24,0.598472
25,0.515501
26,0.42738
27,0.334988
28,0.239249
29,0.14112
30,0.0415807
31,-0.0583741
32,-0.157746
33,-0.255541
34,-0.350783
35,-0.44252
36,-0.529836
37,-0.611858
38,-0.687766
39,-0.756802
