SampleIndex,Voltage
0,0.0672081
1,0.16648
2,0.264089
3,0.359058
4,0.450441
5,0.537322
6,0.618835
7,0.694165
8,0.762558
9,0.823333
10,0.875881
11,0.919678
12,0.954285
13,0.979358
14,0.994645
15,0.999994
16,0.995351
17,0.980763
18,0.956376
19,0.922433
20,0.879273
21,0.827328
22,0.767116
23,0.69924
24,0.624377
25,0.543276
26,0.456746
27,0.365653
28,0.270906
29,0.173452
30,0.0742654
31,-0.0256633
32,-0.125336
33,-0.223756
34,-0.31994
35,-0.412928
36,-0.501789
37,-0.585637
38,-0.663634
39,-0.735
