SampleIndex,Voltage
0,0.0168139
1,0.116549
2,0.21512
3,0.311541
4,0.40485
5,0.494113
6,0.57844
7,0.656987
8,0.728969
9,0.793668
10,0.850437
11,0.898708
12,0.938
13,0.96792
14,0.988168
15,0.998543
16,0.998941
17,0.989358
18,0.96989
19,0.940731
20,0.902172
21,0.854599
22,0.798487
23,0.734397
24,0.662969
25,0.584917
26,0.501021
27,0.412118
28,0.319098
29,0.22289
30,0.124454
31,0.0247754
32,-0.0751511
33,-0.174327
34,-0.271761
35,-0.366479
36,-0.457536
37,-0.544021
38,-0.625071
39,-0.699875
